node,mm
Americabaetis,3.409091
Caenis ,3.1
Orthocladinae,2.6
Tarebia,5.588235
Tanypodinae,4.43333
Chimarra,5.3
Chironominii,5.466667
Enallagma coecum,6.916667
Farrodes taino,4.45
Macrothemis,9.166667
Ceratopogonidae,5.83333
Allisotrichia,2.5
Cariboptila,3
Phylloicus pulchrus,7.375
Petrophila,5.2
Simulium,3.7
Hydroptila,2.5
Hemerodromia,2.875
Neotrichia,1.5
Maruina,2
Smicridea,5.75
Cloeodes,2.5
Limonia,10
Oligochaeta,15
Camaron,2.83333
Physa,5
Forcypominae,2.5
Fungi,
Amorphous detritus,
FPOM,
Animal tissue,
Diatoms,
Alga,
CPOM,
Sediment,
Plant tissue,
